Тумба под ТВ Глянец,Современная тумба для большого телевизора,FURNITURE,209.90,2025-01-01
Саундбар 2.1 Sound,Аудиосистема для ТВ с беспроводным сабвуфером,ELECTRONICS,199.49,2025-01-01
Запонки Престиж,Стильные запонки для мужской рубашки,ACCESSORIES,74.95,2025-01-01
Матрас ортопедический Сон,Матрас 160х200 с независимыми пружинами,FURNITURE,379.80,2025-01-01
Графический планшет Artist,Планшет для цифрового рисования и ретуши,ELECTRONICS,279.99,2025-01-01
Термос Арктика,Сохраняет температуру напитка до 24 часов,ACCESSORIES,41.50,2025-01-01
Кухонный комбайн Мастер,Многофункциональный помощник на вашей кухне,ELECTRONICS,249.65,2025-01-01
Скамья для прихожей Уют,Скамья с мягким сиденьем и полкой для обуви,FURNITURE,134.90,2025-01-01
GPS-навигатор Way,Автомобильный навигатор с обновляемыми картами,ELECTRONICS,114.99,2025-01-01
Дорожная сумка Вояж,Вместительная сумка для дальних путешествий,ACCESSORIES,94.75,2025-01-01
Детская кровать Сказка,Кровать-машинка для вашего ребенка,FURNITURE,319.50,2025-01-01
MP3-плеер Music Go,Компактный музыкальный плеер с клипсой,ELECTRONICS,59.95,2025-01-01
Коврик для мыши XXL,Большой игровой коврик для мыши и клавиатуры,ACCESSORIES,27.90,2025-01-01
Шезлонг Пляж,Складной шезлонг для отдыха на природе,FURNITURE,79.99,2025-01-01
Принтер МФУ,Устройство 3-в-1 принтер сканер и копир,ELECTRONICS,169.45,2025-01-01
Декоративная подушка Вельвет,Мягкая подушка для дивана или кресла,ACCESSORIES,24.90,2025-01-01
Сервант Винтаж,Классический сервант для хранения посуды,FURNITURE,549.25,2025-01-01
Умная колонка Голос,Голосовой помощник для умного дома,ELECTRONICS,89.90,2025-01-01
Брелок для ключей Талисман,Оригинальный брелок из металла и кожи,ACCESSORIES,18.49,2025-01-01
Складной стул Пикник,Легкий стул для выезда на природу,FURNITURE,34.95,2025-01-01
Дрон с камерой Fly Cam,Квадрокоптер для качественной аэросъемки,ELECTRONICS,399.00,2025-01-01
Фоторамка цифровая,Показывает ваши фото в режиме слайд-шоу,ELECTRONICS,74.80,2025-01-01
Подсвечник Кристалл,Элегантный подсвечник на 3 свечи,ACCESSORIES,45.50,2025-01-01
Гамак Лето,Подвесной гамак для дачи или сада,FURNITURE,64.99,2025-01-01
Радионяня Baby Monitor,Надежный контроль за сном вашего ребенка,ELECTRONICS,89.70,2025-01-01
Шкатулка для украшений,Деревянная шкатулка с несколькими отделениями,ACCESSORIES,57.95,2025-01-01
Компьютерный стол Геймер,Стол с эргономичным вырезом для игрока,FURNITURE,289.60,2025-01-01
SSD-накопитель 1TB,Скоростной твердотельный диск для ПК,ELECTRONICS,119.99,2025-01-01
Виниловый проигрыватель Retro,Проигрыватель в ретро-стиле с Bluetooth,ELECTRONICS,209.50,2025-01-01
Настольная лампа LED,Лампа с регулировкой яркости и цветовой температуры,FURNITURE,49.90,2025-01-01
Чехол для ноутбука 15,Защитный чехол для 15-дюймового ноутбука,ACCESSORIES,31.95,2025-01-01
Электросамокат City Ride,Быстрый и удобный транспорт для города,ELECTRONICS,479.99,2025-01-01
Кресло-качалка Уют,Классическое кресло-качалка из натурального ротанга,FURNITURE,239.40,2025-01-01
Мультитул Мастер,Многофункциональный инструмент 12 в 1 из стали,ACCESSORIES,49.99,2025-01-01
Увлажнитель воздуха Aqua,Поддерживает оптимальную влажность в комнате,ELECTRONICS,64.52,2025-01-01
name,surname,ACCESSORIES,4364356453.7568767,2025-11-12
newItem,new item desc numero 103,FURNITURE,64357,2025-11-13
final product,final product for test,ELECTRONICS,6745,2025-11-13
546fgrh,rtedhert65h etrh etryhetr h,FURNITURE,1245,2025-11-13
